"cleanliness_diff","social_diff","sleep_diff","guestPolicy_diff","noise_diff","cooking_diff","workSchedule_diff","petFriendly_diff","score"
"2","3","1","1","1","1","1","1","68"
"1","1","4","3","4","4","0","2","50"
"1","0","1","4","2","3","0","1","69"
"3","4","2","3","2","4","2","0","52"
"0","2","2","2","4","2","3","2","61"
"1","4","3","3","3","2","2","4","45"
"2","3","0","3","1","0","1","2","69"
"2","2","4","3","1","0","4","3","54"
"2","4","3","3","3","0","0","3","50"
"4","3","3","0","3","2","4","0","49"
"0","0","2","3","4","3","2","0","66"
"3","4","2","4","2","3","0","1","49"
"1","4","1","4","2","3","4","3","49"
"1","1","1","1","2","2","4","0","71"
"1","4","2","0","0","0","3","4","63"
"2","4","4","3","2","4","4","1","47"
"2","3","1","2","0","2","1","1","68"
"0","4","1","4","2","1","1","4","61"
"2","1","1","1","1","4","1","2","67"
"1","3","3","1","1","0","2","2","69"
"0","1","0","1","1","0","2","2","88"
"1","0","1","4","3","2","1","2","65"
"3","0","0","4","1","0","1","1","76"
"0","1","1","0","2","0","0","0","88"
"3","4","1","1","0","4","2","0","65"
"2","4","0","0","1","4","2","0","72"
"1","2","1","3","3","2","3","3","57"
"0","2","1","0","2","2","0","0","80"
"4","1","1","0","4","1","1","2","64"
"0","2","0","0","0","2","1","3","83"
"3","2","0","1","2","4","4","1","58"
"0","4","3","2","1","2","4","2","53"
"2","4","0","2","4","4","4","0","54"
"4","1","4","1","0","2","4","0","55"
"1","4","2","0","0","3","0","2","70"
"0","4","3","1","0","2","4","1","62"
"0","2","4","3","2","3","1","3","56"
"0","0","3","3","3","1","0","3","69"
"3","3","1","3","0","1","1","1","65"
"0","3","0","4","0","1","1","3","67"
"1","0","1","1","0","2","2","0","79"
"3","1","0","4","1","0","0","1","72"
"3","3","4","4","0","0","3","0","51"
"0","3","3","1","0","3","2","3","69"
"3","1","3","0","1","1","4","2","70"
"2","3","4","1","0","2","0","3","57"
"3","0","1","0","2","4","1","0","73"
"0","3","2","4","0","0","1","0","69"
"1","1","1","4","1","2","4","0","63"
"1","0","0","1","0","4","1","1","87"
"1","1","1","1","0","0","1","2","85"
"0","3","4","4","2","2","0","0","60"
"0","2","1","0","0","4","3","1","75"
"3","2","2","1","3","3","0","4","57"
"2","1","0","2","0","3","1","0","75"
"2","0","4","3","0","2","1","3","61"
"3","0","2","0","2","1","1","3","74"
"3","3","4","0","3","3","3","2","49"
"4","4","4","0","1","3","3","4","39"
"1","3","1","0","3","3","3","1","69"
"1","3","2","0","2","1","1","4","64"
"2","1","2","1","4","2","3","1","63"
"4","4","2","3","1","2","1","0","54"
"3","3","2","1","3","2","4","0","53"
"4","4","1","1","1","2","2","0","61"
"1","3","1","1","0","4","1","0","73"
"2","2","3","3","0","0","0","1","73"
"1","0","0","0","0","2","4","0","89"
"2","4","1","2","2","4","4","2","55"
"2","0","0","3","0","0","4","3","75"
"4","1","0","2","4","1","4","2","50"
"3","0","1","0","4","1","2","1","72"
"3","0","1","3","0","2","1","4","64"
"1","0","0","4","1","1","3","4","67"
"3","0","0","0","2","4","3","3","68"
"3","1","0","4","2","4","2","0","60"
"0","1","3","2","3","1","1","4","60"
"4","3","4","0","2","2","0","3","49"
"4","4","3","4","3","2","2","2","39"
"0","4","4","4","0","3","4","4","42"
"3","2","2","0","2","3","3","4","55"
"4","2","0","2","3","2","1","0","61"
"3","0","2","2","3","2","1","1","67"
"3","0","1","3","0","4","1","2","62"
"0","1","4","1","1","3","2","3","65"
"1","1","0","1","0","3","1","2","79"
"4","2","1","1","3","4","4","2","49"
"2","0","1","1","2","1","2","4","64"
"0","3","3","3","4","3","1","0","58"
"3","4","3","4","2","4","0","3","39"
"2","3","4","0","4","3","4","0","48"
"0","0","4","4","1","2","0","3","62"
"3","3","4","1","3","2","1","4","54"
"1","0","1","1","2","1","2","1","75"
"4","1","2","4","1","0","2","1","61"
"1","2","2","0","1","0","1","0","80"
"0","2","2","4","1","3","0","2","65"
"0","0","1","2","3","1","2","1","71"
"4","1","2","0","1","4","2","4","58"
"2","4","2","3","1","0","4","2","54"
"1","0","4","0","4","0","4","1","66"
"0","0","3","3","3","2","0","1","71"
"0","4","2","0","2","1","2","1","72"
"4","4","4","2","2","4","1","0","47"
"3","0","0","1","0","3","1","0","81"
"1","4","2","3","0","1","0","4","59"
"1","4","2","3","3","2","2","1","53"
"0","1","2","3","0","1","0","3","71"
"3","1","1","4","4","0","1","0","59"
"0","0","2","0","4","4","2","0","71"
"1","4","1","1","1","1","2","0","73"
"1","1","2","0","1","1","2","4","70"
"2","0","0","2","4","2","1","4","63"
"3","1","1","0","0","0","1","1","84"
"4","4","1","1","2","1","1","1","60"
"4","2","4","0","1","4","0","2","55"
"2","0","2","1","2","0","1","0","80"
"0","2","4","4","4","1","2","0","55"
"2","1","1","1","0","1","3","4","66"
"1","4","1","3","0","4","0","4","62"
"1","2","3","1","3","1","1","3","63"
"2","0","3","3","2","4","4","1","55"
"2","1","3","3","0","2","2","0","66"
"3","3","2","1","4","3","3","1","51"
"0","4","0","3","3","0","1","0","71"
"0","0","1","4","0","1","1","4","71"
"3","3","1","4","0","1","3","1","65"
"4","4","0","4","0","4","0","2","49"
"1","3","4","4","3","1","1","4","42"
"1","2","4","0","1","2","3","2","65"
"4","1","1","1","2","2","1","0","68"
"1","0","3","0","0","0","2","3","81"
"0","4","0","0","2","2","2","0","78"
"3","0","1","3","0","2","4","3","60"
"0","1","1","1","4","1","3","0","75"
"3","0","4","0","4","0","1","0","61"
"4","4","0","2","1","0","0","1","68"
"3","4","2","0","0","0","0","1","70"
"2","0","2","0","2","2","0","0","80"
"3","4","3","3","3","1","3","3","43"
"4","0","1","1","0","2","4","2","70"
"1","0","3","4","2","0","4","1","65"
"1","1","0","1","3","1","1","0","86"
"1","2","2","2","2","0","0","4","65"
"4","4","1","1","0","3","0","0","70"
"1","4","0","1","3","3","4","3","57"
"4","2","3","4","2","1","2","3","43"
"2","0","4","2","4","1","0","0","64"
"3","0","2","3","1","1","0","0","69"
"2","4","0","3","1","0","2","2","63"
"2","0","0","4","1","3","1","3","63"
"3","1","2","3","0","3","3","1","62"
"4","3","1","4","2","4","1","1","46"
"3","3","0","0","0","4","2","0","69"
"3","1","0","4","1","2","0","3","66"
"3","1","1","4","3","3","1","4","52"
"3","1","3","4","0","2","1","1","59"
"3","4","3","1","4","0","4","3","45"
"4","1","1","4","3","0","2","0","59"
"3","0","4","0","1","1","2","4","62"
"1","2","1","4","4","0","4","2","61"
"4","0","2","3","0","2","4","4","54"
"0","1","1","1","4","2","0","0","77"
"3","2","1","0","4","1","2","2","65"
"3","0","0","3","1","3","2","4","64"
"2","4","0","3","3","0","2","3","57"
"0","0","2","2","4","3","1","4","59"
"3","1","2","1","3","0","3","1","67"
"3","2","1","2","2","1","2","1","62"
"1","3","3","0","0","4","2","0","75"
"3","3","4","0","2","3","2","2","56"
"3","2","1","0","1","2","2","4","66"
"0","1","4","1","0","0","2","4","73"
"0","3","0","0","0","3","4","3","74"
"1","3","0","3","4","2","1","0","66"
"1","3","4","1","4","3","0","0","55"
"0","4","4","3","1","1","4","3","51"
"3","4","4","0","3","3","0","1","57"
"1","3","4","2","2","0","0","2","60"
"2","4","1","1","1","2","1","2","67"
"4","2","3","0","3","1","0","3","61"
"1","2","4","1","0","1","0","3","67"
"4","0","3","4","4","1","1","0","54"
"3","4","3","4","4","1","2","1","40"
"4","4","3","1","0","3","2","1","58"
"0","1","0","3","4","0","4","1","72"
"2","0","4","0","1","1","0","1","75"
"2","2","0","0","4","0","0","4","71"
"1","4","3","1","1","3","4","0","63"
"4","0","2","0","3","0","4","2","62"
"2","1","0","0","0","3","2","0","78"
"4","1","2","0","3","4","2","1","56"
"1","2","2","3","4","3","0","2","55"
"1","3","3","0","2","2","1","1","67"
"0","1","0","3","4","2","4","0","73"
"3","4","1","2","0","2","2","4","55"
"1","3","2","4","2","4","3","2","51"
"4","0","2","2","2","2","3","1","55"
"1","4","0","4","1","3","3","2","53"
"1","4","2","0","2","2","1","1","67"
"4","0","2","2","4","1","0","3","62"
"3","1","4","4","3","0","2","3","49"
"3","4","0","1","1","2","4","2","64"
"3","3","4","1","0","0","2","1","58"
"3","1","1","4","0","2","4","1","61"
"1","4","3","4","3","2","1","2","49"
"4","4","2","3","0","3","0","3","47"
"1","4","1","0","2","0","1","4","66"
"0","2","2","1","1","1","2","0","74"
"0","3","2","1","4","2","4","1","59"
"1","2","1","0","3","2","0","4","63"
"0","4","1","4","4","2","3","4","44"
"4","4","1","2","1","3","3","0","54"
"1","1","0","3","0","1","2","0","81"
"1","3","4","4","0","0","1","0","69"
"0","4","2","1","1","0","3","1","74"
"3","2","0","4","2","0","1","1","69"
"2","3","2","4","1","4","1","0","55"
"3","2","1","2","3","1","2","2","60"
"1","1","1","2","4","1","2","0","70"
"0","3","1","3","1","4","0","3","65"
"1","1","4","4","0","2","0","1","62"
"4","2","1","4","3","0","3","0","52"
"4","0","4","3","1","3","2","0","51"
"1","3","1","2","0","2","0","3","67"
"0","4","1","4","0","3","4","0","64"
"0","2","2","4","3","2","0","2","59"
"0","1","3","1","3","3","3","2","63"
"1","0","0","2","0","4","1","0","83"
"0","1","0","0","1","2","3","2","84"
"2","2","2","3","4","1","3","1","53"
"3","4","1","0","2","0","1","1","68"
"2","4","2","0","0","3","0","4","66"
"0","1","3","1","1","2","0","2","78"
"0","3","1","0","3","0","4","1","73"
"1","2","0","3","1","1","0","2","72"
"1","4","1","3","0","1","0","4","58"
"0","1","4","1","2","0","3","1","74"
"2","0","1","3","3","1","0","1","69"
"4","4","4","3","3","1","0","2","42"
"0","4","2","4","3","3","2","3","49"
"4","2","4","0","2","0","0","1","61"
"2","0","2","0","1","0","2","1","77"
"4","0","4","2","2","4","2","4","40"
"0","2","1","4","3","2","0","2","63"
"1","3","3","3","3","1","0","4","51"
"4","4","4","1","2","2","1","0","47"
"3","4","1","0","3","2","3","3","53"
"2","1","2","3","1","0","0","3","68"
"1","4","1","4","2","0","0","2","62"
"4","2","1","2","3","3","4","4","45"
"2","0","3","4","4","4","3","4","34"
"3","2","1","1","2","1","4","0","60"
"4","1","3","1","2","1","3","3","55"
"0","3","0","1","2","4","0","1","72"
"1","3","1","2","4","1","4","2","53"
"0","0","0","0","1","2","1","0","94"
"2","3","1","1","0","1","1","0","78"
"1","0","3","3","1","4","0","0","67"
"3","2","1","2","2","4","1","3","51"
"0","1","1","0","4","4","4","2","64"
"1","3","2","3","4","0","2","2","56"
"0","2","1","0","4","0","1","2","74"
"0","3","2","4","0","1","1","2","69"
"4","1","3","2","4","3","4","0","46"
"3","0","0","0","0","0","1","3","78"
"1","0","2","2","0","3","2","0","75"
"1","3","4","2","1","0","4","0","66"
"4","0","2","4","4","4","4","4","33"
"2","0","2","0","4","1","4","2","69"
"4","1","3","1","4","4","1","1","51"
"1","3","3","3","1","0","4","2","63"
"0","0","1","0","3","0","2","3","77"
"2","0","4","3","4","0","1","3","50"
"1","1","2","0","0","0","0","1","87"
"4","2","4","1","1","3","4","1","52"
"4","3","0","1","0","2","4","2","54"
"0","4","1","4","4","0","3","1","54"
"4","4","1","2","1","0","1","0","64"
"4","2","3","1","1","0","0","1","67"
"3","4","3","3","3","1","2","1","38"
"0","2","3","4","1","4","4","3","55"
"2","2","0","3","0","2","4","0","72"
"3","0","4","2","3","0","3","4","53"
"2","2","4","4","1","0","3","3","47"
"1","1","2","4","1","4","2","4","52"
"2","4","3","3","0","2","4","3","52"
"1","4","1","4","2","3","3","1","57"
"1","0","4","0","1","0","0","3","76"
"2","1","2","0","1","1","4","0","73"
"2","2","1","1","4","1","4","4","50"
"0","1","0","1","0","0","4","1","88"
"3","1","0","0","0","3","4","4","70"
"3","4","2","1","1","2","1","3","57"
"1","4","0","2","0","2","0","4","72"
"2","4","3","0","1","0","1","2","70"
"3","2","2","4","2","4","2","4","44"
"3","3","2","3","1","4","4","2","46"
"3","3","3","1","2","3","2","1","54"
"1","3","1","2","0","2","4","0","67"
"1","3","0","2","0","0","2","3","77"
"4","3","4","4","0","2","3","2","43"
"4","0","0","4","1","0","4","1","60"
"1","2","4","0","1","1","1","2","67"
"3","0","3","2","1","3","2","0","64"
"2","3","0","4","2","1","1","3","61"
"2","3","2","1","1","4","4","2","56"
"4","4","2","1","3","4","0","1","47"
"1","4","0","3","4","4","4","1","46"
"3","0","4","4","3","1","2","2","50"
"1","1","1","1","4","4","3","1","64"
"2","0","1","2","0","4","4","1","68"
"0","0","1","3","1","2","0","2","75"
"1","2","0","4","4","4","1","4","52"
"1","2","4","0","1","0","2","0","77"
"1","4","4","1","3","0","2","2","60"
"2","4","0","0","3","3","1","4","60"
"2","0","3","1","1","4","1","1","70"
"0","1","2","1","0","1","2","0","84"
"3","2","0","1","0","1","4","1","73"
"1","2","4","1","3","4","1","1","55"
"1","3","4","1","1","4","1","4","55"
"0","3","1","0","0","1","0","4","74"
"1","0","3","2","0","4","1","4","66"
"4","0","1","2","0","2","0","1","73"
"2","0","4","3","0","2","1","1","62"
"0","4","3","2","2","3","3","0","60"
"2","2","2","4","4","1","2","0","56"
"4","2","2","2","2","0","0","3","51"
"4","0","4","4","0","3","0","2","53"
"1","2","3","0","2","3","1","3","65"
"4","1","3","4","1","1","3","4","49"
"3","3","0","1","4","4","1","4","56"
"1","0","0","1","0","2","0","4","86"
"4","1","3","2","4","1","1","0","52"
